strain_name,mating_type,strain_num,concentration,media,FSC.A_mean_all_mean,FSC.A_mean_lowerquant_mean,FSC.A_mean_upperquant_mean,FSC.A_mean_all_corr_mean,FSC.A_mean_upperquant_corr_mean,FSC.A_mean_all_sd,FSC.A_mean_lowerquant_sd,FSC.A_mean_upperquant_sd,FSC.A_mean_all_corr_sd,FSC.A_mean_upperquant_corr_sd,FSC.A_mean_all_se,FSC.A_mean_lowerquant_se,FSC.A_mean_upperquant_se,FSC.A_mean_all_corr_se,FSC.A_mean_upperquant_corr_se
YJM981,haploid_mat_alpha,SGRP-63,0.02,Galactose,18500.305085514323,5555.414435872396,53275.25046744791,3.330096876719982,9.591481686008152,494.10193705848945,144.27750391616124,1177.3628317143086,0.0027945171638916323,0.1748931361293694,285.26988636783443,83.29865572400298,679.7507478241162,0.0016134152368278635,0.1009745992237093
YPS128,diploid,SGRP-64,0.02,Galactose,9969.604192610677,5415.702698670958,27612.435458271222,1.8417144939511085,5.102352238815618,169.50183562221798,112.64428676621507,1678.6688327068434,0.06428215140524508,0.3740902337806918,97.86193042462325,65.03520928714768,969.179902443531,0.03711331741790653,0.21598109717449246
YPS128,haploid_mat_a,SGRP-65,0.02,Galactose,27477.494955289712,8432.498028157552,62480.187359375,3.2581500088716795,7.407384112503217,1155.3288709450214,203.32143335035184,3304.7463964499184,0.0954873519314525,0.2790941055606271,667.0294346426546,117.3876842768462,1907.9962215938062,0.05512964834182863,0.16113505697466587
YPS128,haploid_mat_alpha,SGRP-66,0.02,Galactose,26744.938557910158,8276.228751184688,60421.72556380209,3.2315011352001646,7.2981904601042356,1002.5274595964388,287.2650776495487,2954.1126569464486,0.04176141808905318,0.10574120502154005,578.8094986679956,165.85256990974568,1705.5577377045129,0.024110965975455364,0.06104971318362156
YPS606,diploid,SGRP-67,0.02,Galactose,9846.408295296224,5302.99849859761,27841.56878841146,1.8562025340006723,5.2421095282701335,497.0823413760117,180.1206697731494,3212.581247250157,0.0425723391929878,0.4668018680360309,286.99062360284984,103.99271718014349,1854.784647893422,0.024579151493103562,0.2695081841688226
YPS606,haploid_mat_a,SGRP-68,0.02,Galactose,27734.8110390625,8341.108813476563,62869.05042708333,3.3261956053914457,7.540087415542334,1263.3987434114163,87.0100517528133,3487.509184750685,0.18180995275081346,0.4830420397184105,729.4236046024162,50.23527680169003,2013.5143666171004,0.1049680251620353,0.2788844516613302
YPS606,haploid_mat_alpha,SGRP-69,0.02,Galactose,27038.7085925944,8292.756880045574,60724.66680078125,3.263870523114829,7.327518520246054,974.470460127916,358.0168603602291,2416.2204232495133,0.1656175895067075,0.3114419142340882,562.6107824721909,206.70113070340292,1395.005511784578,0.09561935988423452,0.17981107301998317
DBVPG 1106,diploid,SGRP-7,0.02,Galactose,10390.197081404622,5260.236927821766,19694.455370768228,1.9750863752229808,3.7436940053738064,222.29458133934133,57.50281094507027,479.17467057919765,0.021307827546370058,0.054108951730182764,128.3418363756639,33.199263378296486,276.65162504775003,0.012302079969742877,0.03123981784698949
DBVPG 1106,haploid_mat_a,SGRP-8,0.02,Galactose,9717.382331298828,5009.475976843223,23201.959030924478,1.939834506350689,4.632123136499908,43.47786659681108,34.935635005101396,844.4425019373058,0.009595931305824024,0.18613219845177836,25.101957983459517,20.170098274505804,487.5391058086646,0.005540213522542658,0.10746347488099109
DBVPG 1106,haploid_mat_alpha,SGRP-9,0.02,Galactose,10011.675675602213,5085.33287141927,24044.34472233073,1.9662771438366506,4.72334103536146,884.8214028125255,250.58747414061517,1986.0302790005778,0.07521183684294551,0.16249940378358668,510.85187509855393,144.67674565063257,1146.6351161997313,0.0434235742475208,0.09381907451760747
273614N,diploid,SGRP-1,0.2,Galactose,13925.376224023437,7227.223716959636,26234.793738932294,1.9279746029123677,3.6331065510318457,862.807450475363,470.9788463327736,1532.279841248509,0.06853652193730306,0.14332154437008102,498.14211379076556,271.91976371284625,884.6621788186637,0.03956957938982261,0.08274673222273918
DBVPG 1373,diploid,SGRP-10,0.2,Galactose,9860.587250488281,4768.129430175781,21885.41092550126,2.0664618834303066,4.582912891753714,661.0772581868961,165.76195226338555,2297.751054176988,0.06754453145287406,0.33098719710202373,381.6731329693442,95.70270776066354,1326.6071896598305,0.038996853416603985,0.19109554734517314
DBVPG 1373,haploid_mat_a,SGRP-11,0.2,Galactose,15291.665707438151,4951.137790460096,43990.90686002604,3.085283084395956,8.866225777366695,1782.8173946620805,441.1605905316237,5698.681105994788,0.16222744740352132,0.43190269393736413,1029.3101027240996,254.70418569928722,3290.135070571925,0.0936620604283689,0.24935913660846173
DBVPG 1373,haploid_mat_alpha,SGRP-12,0.2,Galactose,15473.400827148438,4857.135204589844,44570.09984635417,3.1843464687705754,9.153056091342679,1662.1462735679086,413.31185183910543,6127.634299426991,0.17583623620309927,0.544406708475441,959.6405984769655,238.62570891857027,3537.7913122697573,0.10151909830514999,0.314313359686934
DBVPG 6044,diploid,SGRP-13,0.2,Galactose,13616.69968186849,5764.205254231771,32379.466070963543,2.3579616329249995,5.599314035548897,1878.867060595708,630.7971192369977,5516.148129326347,0.07860970322767588,0.45518080589946824,1084.764403206453,364.1908865955211,3184.749607356417,0.045385333319415265,0.2627987608160088
DBVPG 6044,haploid_mat_a,SGRP-14,0.2,Galactose,23410.52204231771,7124.613610677084,59842.7845,3.282447942355403,8.378456274555756,2841.063346193315,746.7414598482668,8602.806850529125,0.07272355689657761,0.3512110410349948,1640.2886877094893,431.131382858451,4966.832850939347,0.041986965150666154,0.20277178908392296
DBVPG 6044,haploid_mat_alpha,SGRP-15,0.2,Galactose,9980.822093766275,5025.651559733073,20646.63049576823,1.980275690204559,4.088229854519485,1483.7016440764328,525.9752900805389,3692.697038785938,0.08632276707013208,0.29334391262522846,856.6155436046188,303.67197531509066,2131.9796293787954,0.04983847280513412,0.16936218691931373
322134S,diploid,SGRP-16,0.2,Galactose,50633.92819975586,11935.783755987664,119856.43025,4.290616598410221,10.176251200230091,5152.135388685661,1749.681729934912,12130.978090866643,0.6137488405541233,1.6482278714704837,2974.586753559064,1010.1792177740916,7003.823466295309,0.3543480583087438,0.9516048052793277
322134S,haploid_mat_a,SGRP-17,0.2,Galactose,50941.66381232096,9847.260012532552,126847.3334921875,5.178614794295351,12.896021393019943,782.5962250886203,387.44831817477973,4090.682675652536,0.22231546249962342,0.6917690870477956,451.8321412216999,223.69339079527685,2361.7567439573304,0.12835389211917375,0.39939306862410645
322134S,haploid_mat_alpha,SGRP-18,0.2,Galactose,52748.4276554362,10287.771576822917,138461.7275546875,5.130818199828404,13.476611072479338,2753.0980766604694,578.4827979967239,3680.4401556651064,0.20087200039156272,0.5143650896644215,1589.501915665363,333.98719914497644,2124.9031146095576,0.11597350349872736,0.2969688229794998
L_1374,diploid,SGRP-19,0.2,Galactose,9474.771826180013,4560.0578682454425,21463.961691731773,2.0773125031660893,4.70490229171769,642.6694723311241,181.5050907993169,1925.1479802701274,0.09757047619784943,0.3285752061098375,371.0453928503293,104.79201303227308,1111.4847046388224,0.05633234069778835,0.18970298369655145
273614N,haploid_mat_a,SGRP-2,0.2,Galactose,25303.273525439454,7720.092569173177,68145.93896484375,3.277132016888079,8.822679027182938,1567.5485621011535,436.0659454624502,4857.990376567792,0.044319835547524625,0.1568397520537825,905.0245842969118,251.7627909971743,2804.762051632026,0.025588068983803287,0.0905514730678855
L_1374,haploid_mat_a,SGRP-20,0.2,Galactose,17287.17385994466,4957.702511960454,46820.61023307292,3.4873837085004817,9.435840355212928,1438.7449331306486,412.7415071930832,4740.582597694916,0.06832199772912953,0.22374822113185866,830.6597744381902,238.29642028365845,2736.9766388948156,0.039445723780485935,0.12918109570117853
L_1374,haploid_mat_alpha,SGRP-21,0.2,Galactose,16669.77983564453,4907.23851093259,43928.05859309896,3.3963216983438245,8.940187478432536,1374.2393684376984,382.5367109903501,4555.858457077197,0.03180425694410293,0.24391421773608518,793.4174692984865,220.85767306519273,2630.326106583353,0.018362196308053854,0.14082393926910577
L_1528,diploid,SGRP-22,0.2,Galactose,9607.207214697266,5318.4337942708335,19999.541549153644,1.8074712805554305,3.7595987529521917,615.9542961133418,402.0843508973997,1624.0652359488122,0.02869044731111819,0.056618870651169044,355.62137866954436,232.1435082275497,937.6545011565598,0.01656443747824486,0.03268892021166505
L_1528,haploid_mat_a,SGRP-23,0.2,Galactose,21383.64279941406,5165.647114746093,51117.73197913935,4.13755585132705,9.883417478512845,1667.0249904003522,333.183002538413,4846.970180804396,0.07962303795772165,0.2982140663618153,962.4573269534767,192.36329620496053,2798.399538641507,0.04597038239858638,0.172173971490127
L_1528,haploid_mat_alpha,SGRP-24,0.2,Galactose,21579.77105247396,5101.53330949438,51596.34843617841,4.233819389844555,10.115065043039051,1345.9650749902555,370.71561818482274,3951.7435373590715,0.1555092488190062,0.30432565536146006,777.0932983654588,214.03276195180595,2281.540195062624,0.08978330666712973,0.17570249904424826
NCYC 110,diploid,SGRP-25,0.2,Galactose,28066.28595148112,7934.971700683594,79823.05934114584,3.5388182020833114,10.06563703704383,1937.7872740038338,379.04839863225993,7856.24608175578,0.2171989645022155,0.9378821630593277,1118.7820042783446,218.84369498623187,4535.8057901216425,0.1253998806230621,0.5414865193104513
NCYC 110,haploid_mat_a,SGRP-26,0.2,Galactose,63433.657844401045,17172.33328125,190211.90927864582,3.6990393325295674,11.107316830946552,3438.5981885956053,1345.3127930142077,6229.426155040203,0.11456726779324396,0.6416550821955818,1985.2755898206324,776.7167031910002,3596.560867509357,0.06614544290074935,0.3704597344325106
NCYC 110,haploid_mat_alpha,SGRP-27,0.2,Galactose,29492.353573616536,7739.350671386718,75519.23121354167,3.8121721565836277,9.771150363721844,2122.110933903848,571.4291073383908,4002.9974894651627,0.10285931459268335,0.3603661790527037,1225.2013189396348,329.91474894460754,2311.131678108108,0.05938585296874614,0.20805751048291535
SK1,diploid,SGRP-28,0.2,Galactose,17529.895735628255,6358.926719563802,47306.376281901044,2.7490664186739084,7.405363657526427,2516.267917591595,658.9757028162471,7883.065266697241,0.1183580277333219,0.4924305533700423,1452.7679595747265,380.45979941038314,4551.289853767042,0.0683340391725866,0.2843049125453903
SK1,haploid_mat_a,SGRP-29,0.2,Galactose,32397.781876009114,5221.212206902797,112788.26413802084,6.18707332876728,21.58511361915357,4392.223733286595,390.5036850914128,11452.728356050298,0.4025658657873754,0.9866871225866946,2535.8515547540787,225.45740770706806,6612.2357993213,0.23242151097889596,0.5696640758313654
273614N,haploid_mat_alpha,SGRP-3,0.2,Galactose,22856.76375053711,7321.1925726574855,60242.732173177086,3.1211644298352192,8.22203442759884,1219.4892151484755,321.7257160409785,4304.577596267497,0.0296867322252331,0.22250197016360526,704.0724266398179,185.74842876148406,2485.2490339526717,0.01713964284159867,0.12846157236917957
SK1,haploid_mat_alpha,SGRP-30,0.2,Galactose,52042.96078644206,6840.496148763021,175876.9349609375,7.88230165389904,27.481296677666286,14043.641599072427,2836.533210957316,23942.682018510553,1.056849162383381,6.429991911084927,8108.100257627093,1637.67321291152,13823.31390850868,0.6101721483948755,3.712357560751999
378604X,diploid,SGRP-31,0.2,Galactose,10726.053250089519,4714.799055745443,23990.395963222974,2.2738343112755817,5.081480899733019,801.3609159333661,226.33664625341922,3199.7960201721144,0.0915539520287107,0.5298374453510817,462.665940532174,130.6755236418887,1847.4030935982635,0.052858698849150204,0.30590179170019066
378604X,haploid_mat_a,SGRP-32,0.2,Galactose,14125.360587076822,6841.4017192799065,29573.685769014188,2.0700879268375574,4.34140611965597,249.58293760856878,484.42526162781144,555.268706136738,0.11439541289875724,0.39739935797515835,144.09677621344477,279.68305520307183,320.58453696062094,0.06604622243115588,0.22943862630274214
378604X,haploid_mat_alpha,SGRP-33,0.2,Galactose,10013.639934098308,4800.18065234375,21543.14654233657,2.0857396716487546,4.486227966911705,561.8749750924628,126.1738826220049,1897.216726401677,0.09114585740006424,0.3413670682475374,324.3986681205477,72.84652509651478,1095.358587699069,0.052623085305446335,0.19708836874518906
UWOPS05-217.3,diploid,SGRP-34,0.2,Galactose,14677.89528639323,5663.17041422526,47012.48726953125,2.587208838995209,8.261107887765387,1906.29545689664,461.5954253849567,8711.140029036611,0.18514673480351693,0.9294362942294024,1100.6001951942358,266.5022431027046,5029.379040712812,0.10689451717839075,0.5366102946679537
UWOPS05-217.3,haploid_mat_a,SGRP-35,0.2,Galactose,11352.558843839519,4266.65919356713,30115.401936197915,2.6610087795824517,7.053857438605123,907.5218032974608,246.70831064378515,3362.698116187651,0.15227546059906139,0.5910569129678467,523.9579574292436,142.43710956150719,1941.454662584388,0.08791627816784235,0.3412468678083755
UWOPS05-217.3,haploid_mat_alpha,SGRP-36,0.2,Galactose,11440.691007340496,5177.213814095572,25817.612503255208,2.208961152418395,4.980205548694037,976.0450239071167,399.2382889762717,2690.0550112522114,0.0263364624363171,0.13935085787914187,563.5198572939686,230.50033361125608,1553.1039848813662,0.015205363677110145,0.08045425530832784
S288c,diploid,SGRP-37,0.2,Galactose,12062.43778828125,6399.343581054687,19941.667933851957,1.8859411020118484,3.118047114191899,742.9580914289664,423.9282461382453,1407.1677189274149,0.0555215534395153,0.1442629227108376,428.9470540831244,244.75508702500187,812.4286613176946,0.032055383824130354,0.08329023726118427
S288c,haploid_mat_a,SGRP-38,0.2,Galactose,13109.38872828776,6523.419032552083,21515.55139908854,2.00974631697001,3.298109075723858,823.402000354305,422.0128610721008,1439.8290183645538,0.005114386239213556,0.0420455271452455,475.39136655583434,243.64923894146156,831.2856713398098,0.0029527922719496647,0.02427499641552721
S288c,haploid_mat_alpha,SGRP-39,0.2,Galactose,10332.146841308593,5728.439932295417,17398.930090829093,1.7773520180778157,2.988878578126855,3250.633326221047,1081.5266569953167,5677.581385078299,0.20928125002535292,0.38523235680069523,1876.7540259304901,624.4197065520021,3277.9531410209643,0.12082858603847889,0.22241400489943536
BC187,diploid,SGRP-4,0.2,Galactose,9104.113759936523,4404.137660888672,20032.278282552084,2.066344693668642,4.543077885865699,619.608641998611,199.62508179153303,2231.5558509676202,0.07464914627283654,0.367372624840965,357.7312162501165,115.25359470934266,1288.38937126784,0.04309870469539793,0.21210268384483055
UWOPS83-787.3,diploid,SGRP-40,0.2,Galactose,16347.119487841797,7083.217740885417,41893.94411783854,2.378763353914155,6.203432912257055,2141.0615768228713,2127.86428182906,1960.878915694389,0.3570074116145576,1.4720553863509946,1236.1424777302493,1228.5230159129976,1132.113969824417,0.20611832519835638,0.8498915735717854
UWOPS83-787.3,haploid_mat_a,SGRP-41,0.2,Galactose,19612.815781659185,5865.143171759596,63942.78680185247,3.3411131388357354,10.883492229233607,1824.2224281499489,353.0805738204163,6638.505716285632,0.17765996473156187,0.5168698982815313,1053.2153099541258,203.8511643408449,3832.743062314379,0.10257202846198667,0.2984149749088566
UWOPS83-787.3,haploid_mat_alpha,SGRP-42,0.2,Galactose,27561.368987239584,5898.249982910156,69356.18094140624,4.6710995721242705,11.748809184306973,1425.7145286354666,145.0379687559429,5364.546797335479,0.14723782378138717,0.6197391314791598,823.1366668952471,83.73771030396017,3097.2225375219837,0.08500779719507857,0.35780655438683784
UWOPS87-2421,diploid,SGRP-43,0.2,Galactose,9583.747228092448,5130.118839485691,20618.3099453125,1.8690005291364176,4.018741976329918,431.35156332380944,289.9584248139006,1399.589616909486,0.030223916467080777,0.1408284253847651,249.0409412003673,167.40757462010538,808.053442077697,0.01744978630823385,0.08130732930544525
UWOPS87-2421,haploid_mat_a,SGRP-44,0.2,Galactose,21389.04839215495,5132.96058414177,51304.16097265625,4.167856841567161,9.990087586073324,1057.2716179107156,277.061097835493,3860.5919762154404,0.05049155794599302,0.3415721842702792,610.4160532073029,159.96129941729512,2228.913816699294,0.02915131457192266,0.19720679253613416
UWOPS87-2421,haploid_mat_alpha,SGRP-45,0.2,Galactose,21343.014255452475,5132.5923455403645,51387.79032291667,4.159719477417492,10.00776229667257,1168.9421150452697,299.0499749546495,3988.738428675144,0.10174331642608045,0.3505237848437167,674.889044788477,172.65658354121774,2302.8992055225995,0.05874153112684282,0.2023750015368863
Y12,diploid,SGRP-46,0.2,Galactose,9087.925348608398,4260.096135172526,20186.59739388021,2.133679285573797,4.739950271742832,284.0092064414524,46.29457297996874,1244.9843631301148,0.08062992492601855,0.31994299464604764,163.97279179130456,26.72818417200373,718.7920571900466,0.04655170886077613,0.1847191740842306
Y12,haploid_mat_a,SGRP-47,0.2,Galactose,13522.892150227864,5083.62176847815,35868.70726367187,2.6758252589388625,7.097361370026835,1083.5808996411367,323.6589882832893,2876.274412895554,0.3711858967408463,0.9908088909889474,625.6057240965472,186.86460401099902,1660.6178065484812,0.21430427740272026,0.5720437799279434
Y12,haploid_mat_alpha,SGRP-48,0.2,Galactose,15129.694937695313,4807.192832635788,40984.353901041664,3.1608039179288965,8.565295746498272,954.9014120712533,267.8898356698982,3071.4326271394416,0.37284911611515814,1.1051689755317395,551.3125873088919,154.66626873718036,1773.2924540767563,0.2152645375562006,0.6380696055232727
Y55,diploid,SGRP-49,0.2,Galactose,10107.70047421875,5415.282156412761,18471.46470605469,1.8673258746782497,3.4126342115443475,286.14715718057806,93.4026334416181,1564.074610516653,0.0790863780307933,0.31263101578801145,165.2071382260529,53.92603556053815,903.0188974144487,0.04566054164531102,0.18049760112223456
BC187,haploid_mat_a,SGRP-5,0.2,Galactose,18927.9615769694,5513.486585877339,48427.47274869792,3.4261705900155306,8.76787036739013,3746.8947713470598,369.1459886003984,6961.232217872338,0.582932963461396,0.9001852012259133,2163.2707048624266,213.12653588871058,4019.06929488009,0.33655650337394327,0.5197221682482985
Y55,haploid_mat_a,SGRP-50,0.2,Galactose,13710.556866617839,5086.04594963634,40661.16109244792,2.725352387535911,8.080637526816034,1985.336168055014,393.30927000613724,5688.041497869753,0.5753435701680425,1.669007398596858,1146.2343710584626,227.07721291281854,3283.992289956864,0.33217476511303967,0.9636018708593731
Y55,haploid_mat_alpha,SGRP-51,0.2,Galactose,15067.156221240235,5077.253513401475,43570.26644661458,2.9705265422141833,8.593737882308803,947.1792588294251,141.63635986204986,3764.580224095828,0.2327059565903734,0.8958151129304717,546.8542000559988,81.7737904933932,2173.481405767668,0.13435284667948147,0.5171990965945429
YIIc17_E5,diploid,SGRP-52,0.2,Galactose,12788.062922167968,7101.7709862287775,23849.397787434897,1.7990847263919922,3.3508549305833184,1008.0565918225767,376.1179547640762,2769.001645611109,0.04786375840792145,0.21297981672599306,582.0017446471414,217.1518024300909,1598.6838454800904,0.027634153801240666,0.12296395451870926
YIIc17_E5,haploid_mat_a,SGRP-53,0.2,Galactose,14157.92969251302,6957.762042154948,32894.527871744795,2.034200765197708,4.72517962745594,1853.3894585258874,221.33947696708267,8127.4716739087025,0.24617539611623918,1.1237313896439889,1070.0549027931359,127.79040660923616,4692.397958762248,0.14212943121557345,0.6487866203077892
YIIc17_E5,haploid_mat_alpha,SGRP-54,0.2,Galactose,15013.795611067708,6231.215076232362,40485.021188802086,2.409162792229957,6.497543727266527,963.0047677478624,380.9851353920791,2605.3397853571255,0.007178805433622396,0.15333770117241388,555.9910618901214,219.9618704758629,1504.1936264063784,0.004144685249561839,0.08852956304881156
YJM975,diploid,SGRP-55,0.2,Galactose,8756.65014292806,4686.810197120832,19087.01096560666,1.8688117953458891,4.070073537642212,692.3164307774819,343.9009593188046,1886.0641569860297,0.07753376338809272,0.20995598590155423,399.7090776737801,198.55131143728238,1088.919648744789,0.04476413916340008,0.12121814497823562
YJM975,haploid_mat_a,SGRP-56,0.2,Galactose,18828.51796176758,4959.806119975565,51472.51008463542,3.7960240685743085,10.365535344483499,1603.1894995939888,305.5921195847156,5845.058763444736,0.22457351438902887,0.7761816875074091,925.601889152571,176.43369250446386,3374.6462505039995,0.12965757898536612,0.44812870622246065
YJM975,haploid_mat_alpha,SGRP-57,0.2,Galactose,19185.051453727214,4918.143822287901,53007.212903645835,3.9049021995523368,10.783182068903052,249.2481977754603,230.15861995153074,1652.3373267999639,0.12920111683201863,0.1803722591100536,143.9035140806911,132.88214118532906,953.9774004200258,0.07459429958256625,0.10413797235153038
YJM978,diploid,SGRP-58,0.2,Galactose,11706.19179741211,5934.463609375,25796.0110859375,1.973550117987411,4.344092483980609,1312.5545168701321,696.162063512477,3315.2680072308963,0.04154401536182214,0.1308811825004668,757.80370364103,401.9293547685339,1914.0708764105123,0.02398544845236596,0.07556428594850105
YJM978,haploid_mat_a,SGRP-59,0.2,Galactose,18524.19779013672,5354.226130469443,52376.74188671875,3.4583616961177417,9.771187229107198,4801.581000002453,272.2292543505936,12055.324074972072,0.8572234401646566,2.0733093846509036,2772.194082887209,157.1716332806063,6960.144599853302,0.49491818393472153,1.1970257313415766
BC187,haploid_mat_alpha,SGRP-6,0.2,Galactose,20724.903181429036,5502.633087565104,50210.10255325404,3.763292756465024,9.105856548080896,2162.254460283681,472.4987650925925,6434.304582579868,0.11806197880307367,0.45656342446203735,1248.3781947012524,272.7972892179741,3714.8474828005296,0.06816311524301448,0.26359701601529467
YJM978,haploid_mat_alpha,SGRP-60,0.2,Galactose,24426.950192545573,5374.462351888021,63152.67040755208,4.548327165958142,11.746761531308183,1207.1580238262643,340.94762791226066,4505.795927801814,0.1188681458756912,0.0986649822941171,696.9530100105104,196.84620475470805,2601.4224918298974,0.068628556019402015,0.056964254087098175
YJM981,diploid,SGRP-61,0.2,Galactose,17158.263909375,7566.713379695338,42754.29198372396,2.2662057575176684,5.646056171619365,1495.3236687970996,556.3673091752097,3851.70438627912,0.04059379254605722,0.11394394032059531,863.3255227056243,321.21881572061505,2223.7825642571124,0.02343683705389396,0.06578556461662236
YJM981,haploid_mat_a,SGRP-62,0.2,Galactose,32111.206681298827,5869.116789225261,88378.51150911459,5.474572542296502,15.055826061566586,2090.083912834288,408.03658878038095,7156.960581958626,0.2003459370719471,0.5316077002728211,1206.7105097037827,235.58003437156958,4132.073118573354,0.11566978069953648,0.30692384885579116
YJM981,haploid_mat_alpha,SGRP-63,0.2,Galactose,32588.12553292643,5915.616263671875,86823.14078385416,5.510684327559955,14.673310594403544,1736.819914650327,333.93935392157914,6165.606415675035,0.14396431941833676,0.47975516587575445,1002.7534452572693,192.79997587963345,3559.7145238072653,0.083117838569878,0.2769867741634804
YPS128,diploid,SGRP-64,0.2,Galactose,14031.025080696614,5300.694376139323,44648.79554036458,2.6455477055187924,8.410301556954455,1083.4739391438434,320.6033549904664,4700.022349778313,0.07359721420802494,0.47405778421176936,625.5439704246422,185.10043330684294,2713.559168841766,0.04249137143460975,0.2736973893261026
YPS128,haploid_mat_a,SGRP-65,0.2,Galactose,29452.01073264974,8935.134918619791,65330.20709375,3.2971483954415004,7.310074614540837,2308.282721871571,669.8900676813495,6288.796751986564,0.11590456796498895,0.38105457471527776,1332.6876508383136,386.76121090328377,3630.838497638287,0.06691753351489364,0.220001961287804
YPS128,haploid_mat_alpha,SGRP-66,0.2,Galactose,29717.551550830078,8801.611507256579,66032.35927864583,3.376886783386757,7.502691331467528,1817.201996474715,564.4326862929928,4209.043773248953,0.034829671469281426,0.08409699025785777,1049.162061836602,325.875363370683,2430.092555516201,0.02010892019857586,0.048553419963411525
YPS606,diploid,SGRP-67,0.2,Galactose,13823.912519303385,5250.7094473492,43932.26991927083,2.6300054506441475,8.34547671880875,1278.0187604543214,327.2810403748556,5531.721395725498,0.09650342938145104,0.5161169673834949,737.8644753776944,188.95579676108366,3193.7408369041286,0.0557162809311028,0.2979802700521941
YPS606,haploid_mat_a,SGRP-68,0.2,Galactose,29215.16015999349,8339.39223030225,65838.97221484376,3.5012177064387737,7.891692753487106,2159.496376994951,430.48640890278176,4785.932521258177,0.10591178243704534,0.2804378792347497,1246.7858145720566,248.54144406249637,2763.159429471793,0.06114819610038121,0.1619108850671505
YPS606,haploid_mat_alpha,SGRP-69,0.2,Galactose,30022.62035159505,8321.059451822917,67579.12868359375,3.605016152409229,8.112116959368286,2235.2851644140615,391.4888565237164,5787.285692271244,0.10070362701464539,0.32783393864092114,1290.5424913900354,226.02619669870646,3341.290952310073,0.058141266165277185,0.1892750127238311
DBVPG 1106,diploid,SGRP-7,0.2,Galactose,9310.771929020182,4901.608903483073,19435.379052734374,1.8989632586777863,3.9577844060778826,916.5358291090772,444.1644311518819,2498.343723211225,0.05081781472109395,0.2150480055431195,529.1622076580626,256.438453889996,1442.4194211242127,0.02933967900885212,0.12415802388901219
DBVPG 1106,haploid_mat_a,SGRP-8,0.2,Galactose,13827.844611995442,4831.859224021584,40003.58623372396,2.8552257421685265,8.25385792685963,1783.1630429512934,395.0687797727153,5672.406014993,0.15607504548238646,0.5211662256226942,1029.5096628569215,228.09306635019416,3274.965139709061,0.09010996952303892,0.30089546065580375
DBVPG 1106,haploid_mat_alpha,SGRP-9,0.2,Galactose,14200.135731315104,4970.974632486979,41615.98188411458,2.865136569252286,8.385502550193289,1253.8674717393194,328.59074379059655,3947.9259505825685,0.3127022238569813,0.7905435157006651,723.9207223368115,189.71195438072027,2279.3361103095554,0.1805387131200228,0.45642051159589214
273614N,diploid,SGRP-1,2,Galactose,14947.404951253255,7154.711071777344,30191.70692513021,2.1001015051805196,4.274392506273954,1565.733062395289,1068.1523164706527,2117.375580462465,0.14632285259228411,0.6032906850554736,903.9764050530172,616.6980274498537,1222.4673613555444,0.08447953833274917,0.3483100394163714
DBVPG 1373,diploid,SGRP-10,2,Galactose,22818.008675325524,8756.45015625,50900.51786328125,2.6038181417824044,5.804439820640394,1814.050964568038,454.07545194035526,4993.631000007074,0.08833075402244146,0.2785123137881055,1047.342812717057,262.1605844101651,2883.0742020877447,0.0509977846125792,0.16079915933818822
DBVPG 1373,haploid_mat_a,SGRP-11,2,Galactose,21610.176136686197,6986.560150953538,48944.63686197917,3.0950297437966015,7.011266406267832,1274.406708160859,91.60852795143234,4082.4907214940295,0.22115676986371174,0.6690102963000656,735.7790560137367,52.89020827282482,2357.0271170187275,0.1276849206139221,0.3862532746594742
DBVPG 1373,haploid_mat_alpha,SGRP-12,2,Galactose,22316.24097698568,7104.6310748697915,50852.995377604166,3.141313471267074,7.158171086930384,1318.4846491619383,56.162648797240635,3154.986680271253,0.19013933856579604,0.4520870786995005,761.2274671160344,32.425520401489294,1821.532409144292,0.10977699830449975,0.26101259658430814
DBVPG 6044,diploid,SGRP-13,2,Galactose,19818.68676080729,7341.757130208333,50881.35046875,2.7230792136427024,6.988593417664107,1812.9661379928814,744.9661246585495,6452.5407953208405,0.41232578790990565,1.2022707734669376,1046.7164878018664,430.1063926087659,3725.3761651355294,0.23805640464360858,0.694131354699956
DBVPG 6044,haploid_mat_a,SGRP-14,2,Galactose,29463.33125193685,8500.361378417969,77523.84879296875,3.4647310426248064,9.103104886544145,1707.739096539608,372.8086718154522,8663.397649431028,0.05055007856173712,0.6298387103096806,985.9636270927911,215.2411870288782,5001.814964995776,0.02918510146517566,0.3636375489433409
DBVPG 6044,haploid_mat_alpha,SGRP-15,2,Galactose,13140.956010587564,5548.691097385281,29724.523861979167,2.367926641359639,5.358630444086289,1343.1760377978705,258.9885711772567,4233.204869835591,0.21365358909839138,0.7456009757891707,775.4830469916556,149.5271212862257,2444.0419711344134,0.12335295717928596,0.4304729240799254
322134S,diploid,SGRP-16,2,Galactose,47364.47659414062,10753.005709309897,153953.13024739583,4.418963150996104,14.56478308046178,10274.96638446001,2133.0089945685045,22000.46154075691,0.6535735308976799,2.841929511669021,5932.254607982343,1231.4933171980192,12701.972392852012,0.3773408539989897,1.640788768580051
322134S,haploid_mat_a,SGRP-17,2,Galactose,52371.204215266924,13537.508026367188,140837.01147135417,3.8863986078145656,10.454047441504809,4530.0582883625075,1405.270428190969,10225.82928888201,0.40836888898987056,1.0139803465906025,2615.430372230789,811.3332600002766,5903.885292623188,0.23577188798697019,0.5854218260570745
